# playback: video1_720p60.playback.raw capture: video1_720p60.capture.raw
# Timestamp: 2017-01-21 18:51:22.234760
# frame_index,sent_cpu_timestamp,received_cpu_timestamp,delay_cpu_time,sent_decklink_timestamp,received_decklink_time,delay_decklink_time,ssim_total,ssim_Y,ssim_Cb,ssim_Cr
928,1485049928026837,1485049928396074,369237,80406856335,80407224948,368613,0.936026,0.865646,0.974575,0.967858
936,1485049928160337,1485049928529576,369239,80406989789,80407358426,368637,0.937459,0.868216,0.975628,0.968532
944,1485049928293815,1485049928663045,369230,80407123268,80407491854,368586,0.937159,0.86807,0.974861,0.968547
952,1485049928427187,1485049928796478,369291,80407256693,80407625306,368613,0.936789,0.867577,0.974773,0.968017
960,1485049928560682,1485049928929976,369294,80407390171,80407758784,368613,0.936349,0.866592,0.975164,0.967291
968,1485049928694130,1485049929063419,369289,80407523623,80407892240,368617,0.937388,0.868861,0.975012,0.968292
976,1485049928827587,1485049929196820,369233,80407657052,80408025663,368611,0.937414,0.869041,0.97504,0.968162
984,1485049928961094,1485049929330254,369160,80407790525,80408159116,368591,0.937885,0.870279,0.97484,0.968535
992,1485049929094543,1485049929463706,369163,80407923983,80408292566,368583,0.937998,0.86921,0.975913,0.9688
1000,1485049929227963,1485049929613835,385872,80408057407,80408442701,385294,0.93758,0.868891,0.97529,0.968559
1008,1485049929361376,1485049929730615,369239,80408190860,80408559472,368612,0.93693,0.867026,0.975004,0.968759
1016,1485049929494846,1485049929864140,369294,80408324337,80408692950,368613,0.936671,0.86675,0.974902,0.968361
1024,1485049929628248,1485049929997502,369254,80408457764,80408826377,368613,0.936947,0.866603,0.975525,0.968713
1032,1485049929761732,1485049930147660,385928,80408591216,80408976512,385296,0.936703,0.866694,0.975095,0.968321
1040,1485049929895198,1485049930281082,385884,80408724693,80409109962,385269,0.936702,0.867219,0.974327,0.9685
1048,1485049930028619,1485049930397914,369295,80408858120,80409226761,368641,0.936976,0.868248,0.974421,0.9682
1056,1485049930165517,1485049930548007,382490,80408991572,80409376867,385295,0.937492,0.868034,0.975489,0.968952
1064,1485049930295515,1485049930664815,369300,80409125025,80409493666,368641,0.936744,0.866697,0.975088,0.968446
1072,1485049930428971,1485049930814922,385951,80409258477,80409643772,385295,0.936352,0.865989,0.974903,0.968165
1080,1485049930562426,1485049930931720,369294,80409391928,80409760543,368615,0.936448,0.865937,0.975542,0.967864
1088,1485049930695873,1485049931065131,369258,80409525381,80409893994,368613,0.937903,0.869222,0.975467,0.9690
1095,1485049930812681,1485049931198594,385913,80409642154,80410027448,385294,0.938089,0.869915,0.975265,0.969086
1103,1485049930946124,1485049931332005,385881,80409775605,80410160900,385295,0.938645,0.870387,0.976117,0.969432
1111,1485049931079549,1485049931465497,385948,80409909057,80410294352,385295,0.938039,0.870195,0.975051,0.968871
1119,1485049931213017,1485049931598957,385940,80410042510,80410427803,385293,0.938947,0.871664,0.975619,0.969559
1127,1485049931346475,1485049931732388,385913,80410175962,80410561257,385295,0.938937,0.871907,0.975518,0.969385
1135,1485049931479918,1485049931865808,385890,80410309414,80410694709,385295,0.939255,0.873189,0.975393,0.969182
1143,1485049931613374,1485049931999269,385895,80410442867,80410828161,385294,0.940581,0.874687,0.976607,0.9704
1151,1485049931746828,1485049932132746,385918,80410576319,80410961614,385295,0.939119,0.872189,0.975598,0.9695
1159,1485049931880253,1485049932266252,385999,80410709771,80411095086,385315,0.93904,0.872228,0.975449,0.969443
1167,1485049932013770,1485049932399628,385858,80410843224,80411228519,385295,0.94136,0.876973,0.976814,0.970294
1175,1485049932147195,1485049932533153,385958,80410976677,80411362001,385324,0.939761,0.874454,0.975611,0.969217
1183,1485049932280659,1485049932666574,385915,80411110151,80411495449,385298,0.93972,0.872887,0.976212,0.970062
1191,1485049932414100,1485049932816764,402664,80411243605,80411645582,401977,0.938296,0.869594,0.97574,0.969553
1199,1485049932547551,1485049932933528,385977,80411377034,80411762355,385321,0.938226,0.868818,0.975912,0.9699
1207,1485049932680983,1485049933066914,385931,80411510487,80411895781,385294,0.938427,0.869874,0.975617,0.969789
1215,1485049932814463,1485049933200352,385889,80411643963,80412029232,385269,0.938392,0.870291,0.975315,0.969569
1223,1485049932947932,1485049933333824,385892,80411777418,80412162685,385267,0.939313,0.873273,0.975296,0.969369
1231,1485049933081357,1485049933467283,385926,80411910842,80412296138,385296,0.939534,0.872742,0.976214,0.969645
1239,1485049933214794,1485049933600757,385963,80412044294,80412429612,385318,0.939216,0.871907,0.975822,0.969918
1247,1485049933348303,1485049933734209,385906,80412177775,80412563068,385293,0.939105,0.872058,0.975323,0.969935
1255,1485049933481720,1485049933867615,385895,80412311199,80412696496,385297,0.938903,0.871741,0.975389,0.969578
1263,1485049933615176,1485049934001068,385892,80412444675,80412829948,385273,0.940211,0.87403,0.976296,0.970307
1271,1485049933748609,1485049934134524,385915,80412578130,80412963402,385272,0.939695,0.873296,0.97581,0.969978
1279,1485049933882067,1485049934267967,385900,80412711556,80413096852,385296,0.939812,0.873464,0.975906,0.970065
1287,1485049934015566,1485049934401505,385939,80412845010,80413230303,385293,0.939396,0.872621,0.97564,0.969928
1295,1485049934148988,1485049934534933,385945,80412978487,80413363758,385271,0.941412,0.877014,0.976881,0.970341
1303,1485049934282434,1485049934668384,385950,80413111913,80413497236,385323,0.94064,0.875476,0.976412,0.970033
1311,1485049934415898,1485049934801809,385911,80413245367,80413630665,385298,0.939902,0.873635,0.976024,0.970047
1319,1485049934549337,1485049934935294,385957,80413378820,80413764114,385294,0.93876,0.871154,0.975499,0.969627
1327,1485049934682784,1485049935068762,385978,80413512269,80413897590,385321,0.939154,0.870751,0.976345,0.970365
1335,1485049934816236,1485049935202162,385926,80413645723,80414031018,385295,0.938494,0.870128,0.975653,0.969
